"","lfdn","c_0001","scenario","order","combi","link","value"
"788",243,30,"computer","LF","E","last",2
"789",299,30,"computer","LF","E","last",14
"790",352,30,"computer","LF","E","last",13
"791",422,30,"computer","LF","E","last",40
"792",437,30,"computer","LF","E","last",48
"793",448,30,"computer","LF","E","last",10
"794",12,30,"computer","LF","E","first",30
"795",42,30,"computer","LF","E","first",50
"796",85,30,"computer","LF","E","first",50
"797",124,30,"computer","LF","E","first",100
"798",153,30,"computer","LF","E","first",50
"799",167,30,"computer","LF","E","first",35
"800",220,30,"computer","LF","E","first",50
"801",243,30,"computer","LF","E","first",50
"802",299,30,"computer","LF","E","first",33
"803",352,30,"computer","LF","E","first",33
"804",422,30,"computer","LF","E","first",40
"805",437,30,"computer","LF","E","first",50
"806",448,30,"computer","LF","E","first",50
