sID	Crystal_Order	Q_Order	1_strength_rating	3_strength_rating	7_strength_rating	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)
1190	yrb	3_7_1	99	100	100	1	1	37	2	-99	93
881	bry	7_1_3	100	95	100	1	1	26	2	-99	115
952	bry	7_1_3	67	68	67	1	1	20	1	-99	107
1057	bry	7_1_3	100	50	15	1	1	24	1	-99	81
1141	bry	7_1_3	99	39	27	1	1	48	2	-99	487
900	byr	7_1_3	62	99	46	1	1	21	2	-99	562
991	byr	7_1_3	100	52	21	1	1	24	1	-99	229
1046	byr	7_1_3	100	50	4	1	1	29	2	None	254
1346	byr	7_1_3	83	66	38	1	1	37	1	-99	439
899	rby	7_1_3	93	77	67	1	1	35	1	-99	104
1008	rby	7_1_3	99	76	53	1	1	38	2	-99	104
1133	rby	7_1_3	46	46	46	1	1	36	1	-99	131
1169	rby	7_1_3	100	39	11	1	1	39	1	The slider was very difficult to move for all three of the questions. Also the survey was super basic, i don't know what you hope to achieve from this.	122
867	ryb	7_1_3	100	53	15	1	1	28	1	-99	372
918	ryb	7_1_3	100	53	9	1	1	29	2	-99	195
1054	ryb	7_1_3	100	99	99	1	1	20	2	-99	359
1184	ryb	7_1_3	100	68	56	1	1	24	2	no errors	228
876	ybr	7_1_3	100	35	16	1	1	39	1	-99	114
941	ybr	7_1_3	99	45	24	1	1	26	1	didn't face any issues	250
1116	ybr	7_1_3	95	37	16	1	1	23	1	-99	63
1194	ybr	7_1_3	84	93	54	1	1	28	2	-99	71
815	yrb	7_1_3	100	77	49	1	1	35	2	None	115
939	yrb	7_1_3	100	63	40	1	1	53	2	-99	194
1086	yrb	7_1_3	99	51	35	1	1	26	2	I did not face any difficulties	312
1207	yrb	7_1_3	100	46	13	1	1	30	2	-99	141
912	bry	7_3_1	100	46	30	1	1	22	1	-99	61
936	bry	7_3_1	100	27	6	1	1	22	1	-99	115
1061	bry	7_3_1	99	91	84	1	1	30	2	-99	115
1124	bry	7_3_1	91	76	46	1	1	33	2	no errors	221
861	byr	7_3_1	100	66	39	1	1	32	2	No errors!	126
955	byr	7_3_1	28	78	99	1	1	28	1	-99	187
1093	byr	7_3_1	100	100	100	1	1	26	1	-99	139
1202	byr	7_3_1	71	42	17	1	1	21	2	-99	103
833	rby	7_3_1	91	33	12	1	1	21	2	-99	118
944	rby	7_3_1	99	34	14	1	1	28	2	SEEMED FINE	278
1112	rby	7_3_1	92	93	88	1	1	27	1	-99	125
