sID	first_absent_strength	first_present_strength	fourth_absent_strength	fourth_present_strength	second_absent_strength	second_present_strength	third_absent_strength	third_present_strength	Desktop_Confirmation	Attention_Confirmation	Age	Sex	Technical_issues	Duration (sek)	sID_cond
2557	99	99	100	100	0	100	0	99	1	1	48	2	-99	855	1
2558	1	100	1	100	1	100	2	100	1	1	25	2	there were no issues, thank you very much, the survey was very interesting.	972	1
2559	0	0	0	0	0	0	0	0	1	1	59	2	Hello,   after maximising the screen as instructed, I was unable to minimise it/open new window to access my Prolific ID.	570	1
2560	0	75	0	75	0	75	0	75	1	1	21	1	None	436	1
2561	75	75	75	75	75	75	75	75	1	1	35	1	-99	557	1
2562	0	6	0	1	0	2	0	1	1	1	29	1	-99	210	1
2563	0	25	25	25	25	25	0	25	1	1	59	1	no errors	376	1
2564	0	99	0	100	0	100	0	100	1	1	41	1	-99	106	1
2565	0	75	0	75	0	75	0	75	1	1	41	4	-99	216	1
2566	48	75	52	32	50	66	75	40	1	1	51	2	-99	573	1
2567	0	100	0	99	1	100	0	100	1	1	39	2	-99	350	1
2568	1	50	50	50	50	50	50	50	1	1	54	2	-99	326	1
2569	87	13	87	13	87	13	87	13	1	1	38	1	-99	245	1
